City_id,City,Cloudiness,Country,Date,Humidity,latitude,longitude,Max temp,Wind Speed
0,Busselton,35,AU,1584490087,92,-33.65,115.33,287.04,7.81
1,Lagoa,0,PT,1584490087,80,39.05,-27.98,290.14,7.13
2,Butaritari,0,KI,1584490087,75,3.07,172.79,301.68,5.67
3,Ushuaia,40,AR,1584490087,41,-54.8,-68.3,287.15,7.2
4,Kahului,75,US,1584490087,69,20.89,-156.47,297.15,13.4
5,Jamestown,1,US,1584489849,74,42.1,-79.24,278.15,4.1
6,Rikitea,4,PF,1584490088,78,-23.12,-134.97,300.21,5.32
7,Kapaa,90,US,1584490088,94,22.08,-159.32,296.15,3.1
8,Deputatsky,33,RU,1584490088,90,69.3,139.9,245.51,2.99
9,Beringovskiy,21,RU,1584490089,84,63.05,179.32,273.65,6.0
10,Nizhniy Chir,0,RU,1584490089,64,48.36,43.09,275.21,2.01
11,Mataura,1,NZ,1584490089,74,-46.19,168.86,287.04,2.24
12,Las Guáranas,75,DO,1584490089,78,19.19,-70.21,298.15,4.1
13,Carnarvon,100,AU,1584490090,68,-24.87,113.63,295.15,6.2
14,Castro,0,BR,1584490004,97,-24.79,-50.01,291.71,2.64
15,Ostrovnoy,4,RU,1584490090,96,68.05,39.51,264.69,5.94
16,Bonavista,62,CA,1584490090,70,48.65,-53.11,270.42,10.47
17,Barcelos,0,PT,1584489902,71,41.54,-8.62,287.59,3.6
18,Punta Arenas,75,CL,1584490091,54,-53.15,-70.92,286.15,10.8
19,Flin Flon,40,CA,1584490091,38,54.77,-101.86,259.15,4.1
20,Vestmannaeyjar,52,IS,1584489797,79,63.44,-20.27,274.18,4.64
21,Faya,40,SA,1584490091,87,18.39,42.45,290.15,4.6
22,Mar del Plata,100,AR,1584490014,88,-38.0,-57.56,293.15,1.5
23,Bredasdorp,27,ZA,1584490092,77,-34.53,20.04,292.15,3.1
24,Comodoro Rivadavia,0,AR,1584489862,77,-45.87,-67.5,289.15,6.2
25,Tazovsky,100,RU,1584490092,95,67.47,78.7,266.44,4.78
26,Tottori-shi,75,JP,1584490092,93,35.5,134.23,281.15,1.0
27,Fortuna,90,US,1584490093,87,40.6,-124.16,282.15,5.1
28,Sokołów Podlaski,73,PL,1584490093,73,52.41,22.25,279.81,2.08
29,Cervo,69,ES,1584490093,1,43.67,-7.41,285.93,0.64
30,Ulan-Ude,20,RU,1584490094,42,51.83,107.61,271.15,10.0
31,Tasiilaq,100,GL,1584489912,72,65.61,-37.64,261.15,4.32
32,San Fernando del Valle de Catamarca,68,AR,1584490094,69,-28.47,-65.79,300.93,1.34
33,Cherskiy,100,RU,1584490094,93,68.75,161.3,257.01,6.16
34,Galle,100,LK,1584490095,75,6.04,80.22,300.22,7.71
35,Kazachinskoye,100,RU,1584490095,82,57.7,93.28,267.43,5.03
36,Pemba,40,MZ,1584490095,88,-12.97,40.52,299.15,2.6
37,Puerto Ayora,20,EC,1584490095,62,-0.74,-90.35,302.15,4.1
38,Arkhara,98,RU,1584490095,96,49.42,130.08,269.43,2.73
39,Arraial do Cabo,90,BR,1584490095,100,-22.97,-42.03,295.15,3.1
40,Qaanaaq,98,GL,1584489863,59,77.48,-69.36,244.34,2.71
41,Ponta Delgada,20,PT,1584489867,82,37.73,-25.67,286.15,1.75
42,Port Hardy,5,CA,1584490096,66,50.7,-127.42,282.15,3.6
43,Vredendal,8,ZA,1584490096,97,-31.67,18.5,286.24,1.42
44,San Patricio,40,MX,1584490097,78,19.22,-104.7,301.15,5.1
45,Kampene,100,CD,1584490097,98,-3.6,26.67,293.31,0.74
46,Urubichá,93,BO,1584490097,74,-15.38,-62.95,299.59,0.83
47,Iquique,17,CL,1584489893,64,-20.22,-70.14,296.15,7.7
48,Norman Wells,75,CA,1584489850,79,65.28,-126.83,269.15,2.6
49,Chicama,75,PE,1584490063,83,-7.84,-79.15,296.15,4.1
50,Port Elizabeth,0,ZA,1584490098,64,-33.92,25.57,294.15,3.6
51,Boyabat,38,TR,1584490098,79,41.47,34.77,269.79,1.09
52,Hermanus,2,ZA,1584489834,93,-34.42,19.23,290.37,0.51
53,Vanderhoof,6,CA,1584490099,71,54.02,-124.02,275.18,1.14
54,Nanortalik,17,GL,1584490089,55,60.14,-45.24,266.36,4.88
55,Yellowknife,75,CA,1584490099,64,62.46,-114.35,256.48,2.6
56,Lázaro Cárdenas,0,MX,1584490099,67,17.96,-102.2,300.18,3.47
57,Shache,100,CN,1584490099,26,38.42,77.24,281.97,1.46
58,Port Alfred,24,ZA,1584490100,93,-33.59,26.89,291.48,3.57
59,Coxim,100,BR,1584489902,74,-18.51,-54.76,299.31,1.21
60,Pemangkat,13,ID,1584490026,93,1.17,108.97,297.73,2.86
61,Katsuura,20,JP,1584490100,54,35.13,140.3,286.15,4.6
62,Barrow,1,US,1584490100,85,71.29,-156.79,261.15,5.7
63,Hasaki,20,JP,1584490100,50,35.73,140.83,285.93,4.6
64,Chokurdakh,100,RU,1584490051,92,70.63,147.92,251.43,6.61
65,Tiksi,89,RU,1584490101,88,71.69,128.87,238.23,3.53
66,Murakami,40,JP,1584490101,87,38.23,139.48,280.15,5.1
67,Hobart,75,AU,1584489900,49,-42.88,147.33,294.15,4.6
68,Lorengau,100,PG,1584489992,76,-2.02,147.27,301.62,3.38
69,East London,66,ZA,1584489913,82,-33.02,27.91,294.0,5.03
70,Cape Town,8,ZA,1584490102,88,-33.93,18.42,292.59,4.6
71,Kosa,62,RU,1584490102,96,59.94,55.0,265.23,2.25
72,Kisi,32,NG,1584490102,68,9.08,3.85,300.55,2.49
73,Half Moon Bay,90,US,1584490103,71,37.46,-122.43,287.15,3.1
74,Port-Cartier,90,CA,1584490103,100,50.03,-66.87,270.93,7.2
75,Cassilândia,58,BR,1584490103,78,-19.11,-51.73,296.93,1.59
76,Geraldton,93,AU,1584490103,56,-28.77,114.6,293.15,4.6
77,Tromsø,75,NO,1584490104,94,69.65,18.96,276.15,8.7
78,Thompson,5,CA,1584490022,45,55.74,-97.86,258.15,5.7
79,Khatanga,89,RU,1584490104,87,71.97,102.5,247.23,3.58
80,Pandan,3,PH,1584490104,77,14.05,124.17,299.08,5.45
81,Tuktoyaktuk,90,CA,1584490105,84,69.45,-133.04,256.15,1.5
82,Priverno,75,IT,1584490105,93,41.47,13.19,284.82,1.0
83,Atuona,1,PF,1584490105,73,-9.8,-139.03,301.45,4.49
84,Kawambwa,87,ZM,1584490105,95,-9.79,29.08,291.02,0.9
85,Shimoda,20,JP,1584490106,47,34.67,138.95,288.15,5.1
86,Bila Krynytsya,0,UA,1584490106,86,50.64,29.47,272.15,1.0
